date,time,count
W0115,16:48:33.716708,258
W0115,16:49:33.466117,259
W0115,16:49:39.369072,260
W0115,16:50:35.685117,261
W0115,16:50:41.580986,262
W0115,16:51:40.750658,263
W0115,16:51:46.677127,264
W0115,16:52:43.636478,265
W0115,16:52:49.532442,266
W0115,16:53:48.786873,267
W0115,16:53:54.746410,268
W0115,16:54:51.395363,269
W0115,16:54:57.299584,270
W0115,16:55:56.445101,271
W0115,16:56:02.345065,272
W0115,16:56:58.607071,273
W0115,16:57:04.508652,274
W0115,16:58:03.483407,275
W0115,16:58:09.413772,276
W0115,16:59:06.099412,277
W0115,16:59:11.998848,278
W0116,08:57:56.296461,279
W0116,08:58:01.658653,280
W0116,08:58:58.918026,281
W0116,08:59:04.247362,282
W0116,09:00:04.261912,283
W0116,09:00:09.834658,284
W0116,09:01:07.057242,285
W0116,09:01:12.777976,286
W0116,09:02:12.696439,287
W0116,09:02:18.415808,288
W0116,09:03:15.799345,289
W0116,09:03:21.367254,290
W0116,09:04:21.445761,291
W0116,09:04:27.016703,292
W0116,09:05:24.130178,293
W0116,09:05:29.491847,294
W0116,09:06:29.345499,295
W0116,09:06:34.730589,296
W0116,09:07:32.065658,297
W0116,09:07:37.398313,298
W0116,09:08:36.781572,299
W0116,09:08:42.109206,300
W0116,09:09:39.442314,301
W0116,09:09:45.165650,302
W0116,09:16:29.624599,303
W0116,09:16:35.010207,304
W0116,09:17:32.289628,305
W0116,09:17:37.618439,306
W0116,09:18:37.244333,307
W0116,09:18:42.626528,308
W0116,09:19:39.384744,309
W0116,09:19:44.838327,310
W0116,09:20:44.473982,311
W0116,09:20:49.893522,312
W0116,09:21:46.800452,313
W0116,09:21:52.188599,314
W0116,09:22:51.956907,315
W0116,09:22:57.315137,316
W0116,09:23:54.135625,317
W0116,09:23:59.552208,318
W0116,09:24:59.027146,319
W0116,09:25:04.411398,320
W0116,09:26:01.360001,321
W0116,09:26:06.775024,322
W0116,09:27:06.666093,323
W0116,09:27:12.085749,324
W0116,09:28:08.709780,325
W0116,09:28:14.183471,326
W0116,09:29:13.649657,327
W0116,09:29:19.304862,328
W0116,09:30:16.252898,329
W0116,09:30:21.705680,330
W0116,09:31:20.965296,331
W0116,09:31:26.684465,332
W0116,09:32:23.248428,333
W0116,09:32:28.693835,334
W0116,09:33:27.849994,335
W0116,09:33:33.302863,336
W0116,09:34:30.002616,337
W0116,09:34:35.545243,338
W0116,09:35:34.955011,339
W0116,09:35:40.432116,340
W0116,09:36:37.126025,341
W0116,09:36:42.667299,342
W0116,09:37:41.696591,343
W0116,09:37:47.416296,344
W0116,09:38:43.828552,345
W0116,09:38:49.390084,346
W0116,09:39:48.776077,347
W0116,09:39:54.290123,348
W0116,09:40:51.000466,349
W0116,09:40:56.745875,350
W0116,09:41:56.151686,351
W0116,09:42:01.718277,352
W0116,09:42:58.420138,353
W0116,09:43:03.925408,354
W0116,09:44:03.182312,355
W0116,09:44:08.746802,356
W0116,09:45:05.340126,357
W0116,09:45:11.117234,358
W0116,09:46:10.412833,359
W0116,09:46:15.948329,360
W0116,09:47:12.408906,361
W0116,09:47:17.947997,362
W0116,09:48:17.390162,363
W0116,09:48:22.929014,364
W0116,09:49:19.530592,365
W0116,09:49:25.066820,366
W0116,09:50:24.260545,367
W0116,09:50:29.802872,368
W0116,09:51:26.520730,369
W0116,09:51:32.166746,370
W0116,09:52:31.430248,371
W0116,09:52:36.969475,372
W0116,09:53:33.510468,373
W0116,09:53:39.079219,374
W0116,09:54:38.322933,375
W0116,09:54:43.893769,376
W0116,09:55:40.445864,377
W0116,09:55:46.017539,378
W0116,09:56:45.139488,379
W0116,09:56:50.705987,380
W0116,09:57:47.369267,381
W0116,09:57:53.033011,382
W0116,09:58:52.129165,383
W0116,09:58:57.727789,384
W0116,09:59:54.293962,385
W0116,09:59:59.859875,386
W0116,10:00:59.249086,387
W0116,10:01:04.844857,388
W0116,10:02:01.325793,389
W0116,10:02:06.928654,390
W0116,10:03:06.143173,391
W0116,10:03:11.804051,392
W0116,10:04:08.468484,393
W0116,10:04:14.100852,394
W0116,10:05:13.404475,395
W0116,10:05:19.065376,396
W0116,10:06:15.673352,397
W0116,10:06:21.361301,398
W0116,10:07:20.535589,399
W0116,10:07:26.163724,400
W0116,10:08:22.667704,401
W0116,10:08:28.325502,402
W0116,10:09:27.561342,403
W0116,10:09:33.224225,404
W0116,10:10:30.177151,405
W0116,10:10:35.863379,406
W0116,10:11:34.838348,407
W0116,10:11:40.526358,408
W0116,10:12:36.897028,409
W0116,10:12:42.577715,410
W0116,10:13:41.667925,411
W0116,10:13:47.357033,412
W0116,10:14:44.057628,413
W0116,10:14:49.711788,414
W0116,10:15:49.263379,415
W0116,10:15:54.921756,416
W0116,10:16:51.410732,417
W0116,10:16:57.135228,418
W0116,10:17:56.576756,419
W0116,10:18:02.267902,420
W0116,10:18:58.725154,421
W0116,10:19:04.388165,422
W0116,10:20:03.581210,423
W0116,10:20:09.298887,424
W0116,10:21:05.542260,425
W0116,10:21:11.264237,426
W0116,10:22:10.453011,427
W0116,10:22:16.142560,428
W0116,10:23:12.629124,429
W0116,10:23:18.317456,430
W0116,10:24:17.520684,431
W0116,10:24:23.209095,432
W0116,10:25:20.084625,433
W0116,10:25:25.802145,434
W0116,10:26:24.641716,435
W0116,10:26:30.364739,436
W0116,10:27:27.260788,437
W0116,10:28:27.785374,438
W0116,10:28:33.506222,439
W0116,10:29:30.090451,440
W0116,10:29:35.780706,441
W0116,10:30:35.286703,442
W0116,10:30:41.038381,443
W0116,10:31:37.395293,444
W0116,10:31:43.087265,445
W0116,10:32:42.186898,446
W0116,10:32:47.932921,447
W0116,10:33:44.383538,448
W0116,10:33:50.105187,449
W0116,10:34:49.620608,450
W0116,10:34:55.368407,451
W0116,10:35:52.384755,452
W0116,10:35:58.163113,453
W0116,10:36:57.141395,454
